"","ï..544988"
"1769",34955
"1770",192555
"1771",61056
"1772",709858
"1773",1322701
"1774",1519
"1775",1344097
"1776",7160
"1777",986096
"1778",258798
"1779",357161
"1780",338240
"1781",1375792
"1782",470
"1783",3853481
"1784",4296
"1785",2702051
"1786",5517518
"1787",56415
"1788",185616
"1789",2573640
"1790",131897
"1791",91781
"1792",161149
"1793",37427
"1794",5958813
"1795",2907
"1796",63921
"1797",2765
"1798",6381
"1799",30172
"1800",2449812
"1801",9630
"1802",65019
"1803",1495460
"1804",380990
"1805",480989
"1806",2471825
"1807",976013
"1808",26139
"1809",705922
"1810",2576980
"1811",2611736
"1812",1301989
"1813",5025
"1814",1299102
"1815",138841
"1816",3789
"1817",1154126
"1818",7379
"1819",64149
"1820",3054872
"1821",246552
"1822",0
"1823",9025830
"1824",0
"1825",0
"1826",0
"1827",0
"1828",0
"1829",14651
"1830",120126
"1831",7967961
"1832",229589
"1833",0
"1834",0
"1835",339752
"1836",4858250
"1837",3452
"1838",15007
"1839",22558281
"1840",828402
"1841",2665945
"1842",0
"1843",621353
"1844",2280198
"1845",5941
"1846",51323883
"1847",0
"1848",0
"1849",0
"1850",0
"1851",115753
"1852",168431
"1853",720567
"1854",6208004
"1855",263911
"1856",10379
"1857",59597
"1858",163863
"1859",4121163
"1860",164624
"1861",1917810
"1862",38850704
"1863",1063060
"1864",383617
"1865",770
"1866",107140
"1867",32485
"1868",13483
"1869",0
"1870",344
"1871",0
"1872",157050
"1873",14041
"1874",1609157
"1875",14537
"1876",7065
"1877",24758
"1878",42355
"1879",286394
"1880",893760
"1881",0
"1882",24375
"1883",16380
"1884",2159594
"1885",3043127
"1886",4361
"1887",10182
"1888",93911
"1889",108061
"1890",47989
"1891",2030299
"1892",15309
"1893",1977606
"1894",3232761
"1895",55353
"1896",2115
"1897",8043980
"1898",7719
"1899",5358756
"1900",966
"1901",10628
"1902",206217
"1903",10707
"1904",543029
"1905",1833132
"1906",10234
"1907",540084
"1908",7114
"1909",38557
"1910",622415
"1911",26861
"1912",1793946
"1913",19014
"1914",48142
"1915",1514434
"1916",658533
"1917",555691
"1918",61654
"1919",2964452
"1920",1472179
"1921",4096533
"1922",4092389
"1923",25583
"1924",9585925
"1925",3712735
"1926",38907
"1927",22688264
"1928",2626609
"1929",9896175
"1930",896107
"1931",266222
"1932",1722
"1933",3554732
"1934",446778
"1935",8545
"1936",614992
"1937",1038815
"1938",9329
"1939",14496
"1940",33608
"1941",561
"1942",88063
"1943",2445437
"1944",8638
"1945",297615
"1946",4268543
"1947",10392447
"1948",6546311
"1949",194137
"1950",1100604
"1951",116824
"1952",7351861
"1953",2479525
"1954",10251
"1955",1877706
"1956",21125
"1957",19958
"1958",656092
"1959",5217073
"1960",9864853
"1961",16459
"1962",1201375
"1963",21682
"1964",5376113
"1965",869
"1966",5247510
"1967",6224705
"1968",235183
"1969",503986
"1970",563882
"1971",1186286
"1972",40614
"1973",8829192
"1974",395
"1975",2524859
"1976",50284
"1977",20593
"1978",2639069
"1979",2593640
"1980",2539775
"1981",2645507
"1982",1014578
"1983",2279585
"1984",2601697
"1985",2579950
"1986",2641137
"1987",1495498
"1988",907892
"1989",1814877
"1990",2237650
"1991",9842
"1992",28827
"1993",182585
"1994",67500
"1995",188470
"1996",45807
"1997",3190614
"1998",280987
"1999",16380
"2000",2766963
"2001",185280
"2002",2618125
"2003",175766
"2004",37689
"2005",571256
"2006",1123321
"2007",5654
"2008",1512933
"2009",6161062
"2010",3056
"2011",4410660
"2012",293314
"2013",2685795
"2014",10354
"2015",2760181
"2016",2718230
"2017",5896
"2018",2634091
"2019",566
"2020",3447
"2021",4521
"2022",1069246
"2023",1665260
"2024",1100
"2025",2262336
"2026",1475605
"2027",4408908
"2028",699221
"2029",18435
"2030",253222
"2031",13649
"2032",392
"2033",5207197
"2034",201200
"2035",11818097
"2036",2560
"2037",3575
"2038",2886753
"2039",3245
"2040",2577355
"2041",1292202
"2042",2634357
"2043",912399
"2044",1689605
"2045",13807
"2046",31404
"2047",64457
"2048",39224
"2049",13733
"2050",74996
"2051",1954529
"2052",5763239
"2053",2580375
